elapsed_s,gpu_temp,gpu_util,gpu_mem_mb,gpu_mem_total,gpu_power_w,cpu_pct,ram_pct,ram_used_gb
0.0,47.0,0.0,724.0,16303.0,38.1,12.5,20.0,13.73
2.0,47.0,0.0,724.0,16303.0,38.03,4.2,20.1,13.74
4.1,47.0,0.0,724.0,16303.0,38.19,3.2,20.0,13.72
6.1,47.0,0.0,724.0,16303.0,37.85,5.4,20.0,13.72
8.2,47.0,0.0,724.0,16303.0,38.07,4.1,20.1,13.74
10.2,47.0,0.0,724.0,16303.0,38.03,2.7,19.9,13.66
12.3,47.0,0.0,724.0,16303.0,38.11,9.1,20.1,13.79
14.3,47.0,0.0,724.0,16303.0,37.81,0.9,20.0,13.7
16.4,47.0,0.0,724.0,16303.0,38.05,8.0,20.5,14.04
18.4,48.0,16.0,12379.0,16303.0,42.06,12.0,24.4,16.71
20.5,47.0,16.0,12379.0,16303.0,44.97,10.1,34.8,23.83
22.5,66.0,99.0,14109.0,16303.0,176.72,7.5,38.7,26.52
24.6,60.0,23.0,14115.0,16303.0,126.82,8.7,39.0,26.69
26.6,59.0,23.0,14115.0,16303.0,121.97,8.0,38.9,26.61
28.7,56.0,26.0,14115.0,16303.0,123.96,9.7,38.9,26.67
30.7,51.0,24.0,14115.0,16303.0,104.94,11.4,39.1,26.75
32.8,52.0,23.0,14115.0,16303.0,103.57,8.9,39.0,26.72
34.8,52.0,23.0,14115.0,16303.0,105.16,10.4,38.9,26.62
36.9,53.0,23.0,14115.0,16303.0,116.72,10.0,38.9,26.62
38.9,51.0,25.0,14115.0,16303.0,104.43,12.5,38.9,26.67
41.0,51.0,24.0,14115.0,16303.0,102.72,8.4,38.8,26.56
43.0,52.0,33.0,14115.0,16303.0,109.8,11.2,38.8,26.58
45.1,52.0,24.0,14115.0,16303.0,125.68,9.2,39.0,26.69
47.1,53.0,24.0,14115.0,16303.0,108.39,10.9,39.0,26.69
49.2,53.0,24.0,14115.0,16303.0,122.9,7.8,38.9,26.66
51.2,52.0,24.0,14115.0,16303.0,110.23,15.7,39.0,26.73
53.3,55.0,42.0,14115.0,16303.0,133.89,9.3,38.8,26.59
55.3,54.0,24.0,14115.0,16303.0,127.24,10.5,38.9,26.64
57.4,57.0,24.0,14115.0,16303.0,108.54,12.2,38.9,26.65
59.4,52.0,24.0,14115.0,16303.0,102.86,9.6,38.9,26.61
61.5,53.0,24.0,14115.0,16303.0,114.21,9.3,38.9,26.64
63.5,52.0,24.0,14115.0,16303.0,102.58,9.7,38.8,26.59
65.6,51.0,24.0,14115.0,16303.0,102.48,10.4,38.9,26.67
67.6,60.0,47.0,14115.0,16303.0,115.17,8.3,39.0,26.68
69.7,52.0,28.0,14115.0,16303.0,109.57,11.2,38.8,26.57
71.7,52.0,24.0,14115.0,16303.0,102.88,11.8,38.9,26.65
73.8,60.0,47.0,14115.0,16303.0,115.14,11.0,38.9,26.64
75.8,52.0,24.0,14115.0,16303.0,115.95,9.5,38.9,26.67
77.9,52.0,30.0,14115.0,16303.0,121.93,7.6,38.8,26.56
79.9,54.0,24.0,14115.0,16303.0,110.19,13.8,38.9,26.65
82.0,56.0,24.0,14115.0,16303.0,106.49,8.0,38.8,26.57
84.0,54.0,24.0,14115.0,16303.0,102.72,11.3,39.0,26.73
86.1,52.0,27.0,14115.0,16303.0,111.63,10.8,38.9,26.65
88.1,53.0,24.0,14115.0,16303.0,102.82,9.8,38.9,26.65
90.2,52.0,21.0,14115.0,16303.0,104.21,9.0,39.0,26.68
92.2,56.0,38.0,14115.0,16303.0,112.22,10.4,39.1,26.75
94.3,53.0,24.0,14115.0,16303.0,115.57,10.0,38.9,26.64
96.3,53.0,24.0,14115.0,16303.0,109.0,8.8,38.8,26.58
98.4,55.0,24.0,14115.0,16303.0,114.61,11.0,39.0,26.69
100.4,54.0,27.0,14115.0,16303.0,120.41,10.2,38.8,26.55
102.5,56.0,36.0,14115.0,16303.0,126.21,10.0,38.9,26.64
104.6,61.0,47.0,14115.0,16303.0,122.29,10.0,38.9,26.62
106.6,53.0,24.0,14115.0,16303.0,105.06,12.6,39.1,26.79
108.7,55.0,24.0,14115.0,16303.0,108.21,8.3,38.9,26.61
110.7,58.0,42.0,14115.0,16303.0,107.46,11.3,39.0,26.7
112.8,53.0,24.0,14115.0,16303.0,103.03,9.4,38.9,26.63
114.8,59.0,24.0,14115.0,16303.0,106.39,8.2,38.8,26.59
116.8,54.0,24.0,14115.0,16303.0,103.39,11.3,38.9,26.65
118.9,60.0,24.0,14115.0,16303.0,126.73,10.3,38.9,26.66
120.9,62.0,24.0,14115.0,16303.0,123.04,9.6,38.9,26.64
123.0,54.0,24.0,14115.0,16303.0,106.63,10.0,39.1,26.79
125.1,55.0,24.0,14115.0,16303.0,126.46,8.8,38.9,26.65
127.1,54.0,24.0,14115.0,16303.0,116.9,10.6,38.9,26.67
129.2,58.0,33.0,14115.0,16303.0,123.39,6.9,38.8,26.58
131.2,60.0,24.0,14115.0,16303.0,114.98,15.0,39.0,26.73
133.3,54.0,24.0,14115.0,16303.0,103.78,9.6,39.0,26.69
135.3,61.0,24.0,14115.0,16303.0,109.69,9.3,38.9,26.63
137.3,55.0,24.0,14115.0,16303.0,109.42,14.3,38.9,26.63
139.4,60.0,26.0,14115.0,16303.0,109.29,10.1,38.8,26.56
141.4,60.0,24.0,14115.0,16303.0,103.71,10.8,39.0,26.71
143.5,61.0,24.0,14115.0,16303.0,103.83,9.0,38.9,26.62
145.6,56.0,24.0,14115.0,16303.0,120.28,11.7,38.8,26.59
147.6,55.0,24.0,14115.0,16303.0,109.54,11.2,39.0,26.71
149.6,63.0,47.0,14115.0,16303.0,116.42,11.7,38.8,26.59
151.7,54.0,24.0,14115.0,16303.0,109.57,10.1,38.9,26.63
153.8,59.0,45.0,14115.0,16303.0,121.61,9.5,38.8,26.58
155.8,55.0,24.0,14115.0,16303.0,122.4,9.7,38.9,26.62
157.9,55.0,21.0,14115.0,16303.0,101.2,10.6,39.1,26.74
159.9,56.0,24.0,14115.0,16303.0,103.71,9.6,39.1,26.8
