elapsed_s,gpu_temp,gpu_util,gpu_mem_mb,gpu_mem_total,gpu_power_w,cpu_pct,ram_pct,ram_used_gb
0.0,46.0,5.0,1812.0,16303.0,37.74,44.4,21.8,14.92
2.1,46.0,0.0,724.0,16303.0,37.66,7.4,20.1,13.74
4.1,47.0,0.0,724.0,16303.0,37.53,1.7,19.9,13.65
6.2,47.0,0.0,724.0,16303.0,37.87,6.8,20.1,13.75
8.2,47.0,0.0,724.0,16303.0,37.72,3.2,20.0,13.67
10.2,47.0,0.0,724.0,16303.0,37.68,3.3,20.1,13.73
12.3,47.0,0.0,724.0,16303.0,37.87,5.8,20.2,13.82
14.3,47.0,0.0,724.0,16303.0,37.58,1.6,20.1,13.75
16.4,47.0,0.0,724.0,16303.0,37.72,3.4,20.1,13.74
18.4,47.0,1.0,745.0,16303.0,38.12,11.1,20.8,14.26
20.5,47.0,15.0,12379.0,16303.0,40.52,11.0,30.5,20.86
22.5,63.0,99.0,13605.0,16303.0,82.66,9.0,38.8,26.57
24.6,69.0,86.0,13611.0,16303.0,282.73,8.7,38.9,26.64
26.7,53.0,29.0,13611.0,16303.0,108.14,13.9,39.0,26.68
28.7,59.0,24.0,13611.0,16303.0,115.32,9.7,39.0,26.71
30.8,52.0,30.0,13611.0,16303.0,112.83,10.6,39.0,26.7
32.8,56.0,25.0,13611.0,16303.0,109.17,10.1,39.0,26.68
34.9,53.0,24.0,13611.0,16303.0,103.29,9.9,38.9,26.65
36.9,52.0,24.0,13611.0,16303.0,103.0,9.9,39.0,26.73
39.0,54.0,23.0,13611.0,16303.0,103.0,9.0,39.0,26.69
41.0,51.0,24.0,13611.0,16303.0,105.13,8.3,38.8,26.6
43.1,58.0,24.0,13611.0,16303.0,126.24,13.4,39.0,26.68
45.1,52.0,24.0,13611.0,16303.0,113.81,11.5,39.1,26.76
47.2,57.0,24.0,13611.0,16303.0,115.09,9.2,39.0,26.68
49.2,56.0,24.0,13611.0,16303.0,115.43,10.4,39.0,26.72
51.3,51.0,26.0,13611.0,16303.0,111.25,11.7,39.1,26.75
53.3,53.0,27.0,13611.0,16303.0,124.4,8.8,39.0,26.68
55.4,58.0,23.0,13611.0,16303.0,108.96,10.7,39.0,26.73
57.4,52.0,23.0,13611.0,16303.0,102.8,10.6,39.1,26.75
59.5,58.0,24.0,13611.0,16303.0,105.11,9.4,39.0,26.67
61.5,51.0,27.0,13611.0,16303.0,106.39,10.4,38.9,26.65
63.6,51.0,24.0,13611.0,16303.0,102.42,9.0,38.9,26.67
65.6,54.0,36.0,13611.0,16303.0,121.15,10.1,39.0,26.72
67.7,55.0,23.0,13611.0,16303.0,119.66,11.2,39.0,26.73
69.7,59.0,47.0,13611.0,16303.0,115.12,8.4,38.9,26.66
71.8,56.0,25.0,13611.0,16303.0,120.79,9.0,38.9,26.66
73.8,54.0,25.0,13611.0,16303.0,115.0,11.7,38.9,26.65
75.9,56.0,24.0,13611.0,16303.0,126.46,9.6,38.9,26.64
77.9,56.0,26.0,13611.0,16303.0,109.52,10.5,38.9,26.66
80.0,53.0,23.0,13611.0,16303.0,102.96,11.6,39.0,26.72
82.0,51.0,27.0,13611.0,16303.0,103.47,9.7,39.1,26.79
84.1,54.0,24.0,13611.0,16303.0,104.35,10.5,38.9,26.67
86.1,51.0,26.0,13611.0,16303.0,105.81,8.2,38.8,26.59
88.2,58.0,29.0,13611.0,16303.0,124.63,11.0,39.0,26.73
90.2,58.0,23.0,13611.0,16303.0,118.06,12.3,39.0,26.7
92.3,52.0,24.0,13611.0,16303.0,103.87,9.3,38.9,26.65
94.3,60.0,47.0,13611.0,16303.0,119.26,10.5,38.9,26.66
96.4,52.0,25.0,13611.0,16303.0,104.04,12.2,39.0,26.72
98.4,57.0,24.0,13611.0,16303.0,128.04,8.7,38.9,26.64
100.5,52.0,24.0,13611.0,16303.0,103.37,10.6,38.9,26.67
102.5,52.0,24.0,13611.0,16303.0,103.12,11.1,39.2,26.83
104.6,58.0,24.0,13611.0,16303.0,108.49,7.7,39.1,26.74
106.6,53.0,24.0,13611.0,16303.0,103.35,12.7,39.2,26.82
108.7,53.0,24.0,13611.0,16303.0,103.13,11.2,39.2,26.84
110.7,53.0,24.0,13611.0,16303.0,122.82,8.3,39.1,26.75
112.8,56.0,25.0,13611.0,16303.0,126.39,8.9,39.0,26.68
114.8,58.0,24.0,13611.0,16303.0,106.75,11.4,39.1,26.76
116.9,57.0,33.0,13611.0,16303.0,115.61,8.5,39.0,26.68
118.9,54.0,24.0,13611.0,16303.0,110.41,11.0,38.9,26.64
120.9,57.0,24.0,13611.0,16303.0,118.92,14.6,39.1,26.74
123.0,53.0,24.0,13611.0,16303.0,103.5,9.4,39.0,26.67
125.0,58.0,24.0,13611.0,16303.0,103.3,10.7,39.1,26.77
127.1,55.0,24.0,13611.0,16303.0,103.17,8.2,38.9,26.64
129.2,53.0,24.0,13611.0,16303.0,103.45,11.2,38.9,26.65
131.2,54.0,24.0,13611.0,16303.0,103.41,12.2,39.1,26.76
133.3,55.0,24.0,13611.0,16303.0,122.64,8.8,38.9,26.63
135.3,59.0,24.0,13611.0,16303.0,118.55,9.9,39.1,26.75
137.3,61.0,24.0,13611.0,16303.0,103.56,7.9,38.9,26.64
139.4,61.0,47.0,13611.0,16303.0,117.09,9.5,38.9,26.65
141.4,53.0,24.0,13611.0,16303.0,109.72,7.6,38.8,26.57
143.5,53.0,24.0,13611.0,16303.0,114.91,9.2,38.9,26.64
145.5,61.0,24.0,13611.0,16303.0,109.4,11.7,38.7,26.51
147.6,54.0,24.0,13611.0,16303.0,110.3,13.8,38.5,26.39
149.6,60.0,24.0,13611.0,16303.0,115.39,10.0,38.4,26.32
151.7,54.0,24.0,13611.0,16303.0,107.53,11.8,38.6,26.45
153.8,54.0,24.0,13611.0,16303.0,103.84,10.1,38.6,26.4
155.8,56.0,24.0,13611.0,16303.0,127.45,11.5,38.6,26.41
157.9,63.0,48.0,13611.0,16303.0,124.3,10.4,38.7,26.48
159.9,55.0,24.0,13611.0,16303.0,105.13,10.3,38.5,26.39
161.9,59.0,24.0,13611.0,16303.0,120.25,9.9,38.6,26.41
164.0,58.0,24.0,13611.0,16303.0,112.38,11.9,38.7,26.5
166.0,57.0,23.0,13611.0,16303.0,121.99,9.4,38.6,26.44
168.1,55.0,24.0,13611.0,16303.0,107.29,14.1,38.5,26.39
170.1,54.0,29.0,13611.0,16303.0,105.43,11.6,38.6,26.42
172.2,54.0,29.0,13611.0,16303.0,106.17,9.0,38.4,26.33
174.2,55.0,24.0,13611.0,16303.0,110.56,11.6,38.5,26.39
176.3,57.0,24.0,13611.0,16303.0,107.75,9.0,38.5,26.35
178.4,55.0,38.0,13611.0,16303.0,114.12,14.1,38.5,26.37
180.4,62.0,24.0,13611.0,16303.0,125.74,12.4,38.7,26.53
182.5,59.0,24.0,13611.0,16303.0,108.63,10.3,38.6,26.43
184.5,54.0,22.0,13611.0,16303.0,113.34,10.8,38.4,26.3
186.5,56.0,24.0,13611.0,16303.0,116.73,10.7,38.5,26.37
188.6,61.0,44.0,13611.0,16303.0,128.73,10.0,38.4,26.31
190.7,63.0,24.0,13611.0,16303.0,117.29,10.9,38.5,26.38
192.7,55.0,27.0,13611.0,16303.0,105.73,10.2,38.4,26.31
194.7,55.0,25.0,13611.0,16303.0,106.26,11.8,38.5,26.39
196.8,56.0,24.0,13611.0,16303.0,104.26,9.1,38.4,26.32
198.8,55.0,24.0,13611.0,16303.0,104.37,10.6,38.5,26.35
200.9,56.0,24.0,13611.0,16303.0,104.14,9.9,38.6,26.42
202.9,63.0,48.0,13611.0,16303.0,123.45,13.4,38.6,26.44
205.0,63.0,24.0,13611.0,16303.0,127.06,9.7,38.5,26.39
207.0,58.0,24.0,13611.0,16303.0,104.39,7.4,38.5,26.39
209.1,63.0,47.0,13611.0,16303.0,116.27,10.4,38.6,26.41
